nome,rua,bairro,lat,lon
Wow Cookies,"Neuza Farache,1870",Capim Macio,-5.8600199,-35.1997991
Territorio Mexicano,"Rui Barbosa,947",Tirol,-5.813068,-35.2017876
Parma Doces,"Engenheiro Roberto Freire, 2632",Capim Macio,-5.8556137,-35.1991476
Paneer,"Afonso Pena, 893",Tirol,-5.7944854,-35.1996745
Padoca do Bosque,Alm. Alexandrino de Alencar,Tirol,-5.8071177,-35.2037246
O Maestro,"Pinheiro Borges, 648",Barro Vermelho,-5.7963797,-35.2104277
Mangai,"Nevaldo Rocha, 3775",Tirol,-5.8144792,-35.2003365
Jolie,"Afonso Pena, 506",Tirol,-5.7944854,-35.1996745
Estacao Acai,"Av. Lima e Silva,1551",Lagoa Nova,-5.8206826,-35.2220366
Duarts,"Sao Jose,2175",Lagoa Nova,-5.8218771,-35.2232464
Delicato,"Maranguape, 741",Potengi,-5.757484,-35.2626539
Casa Bauducco,"Nevaldo Rocha, 3775",Tirol,-5.8144792,-35.2003365
Caroli,"Praia de Ponta Negra, 9060",Ponta Negra,-5.8663307,-35.1846812
Bolomania,"Praia de Buzios,9031",Ponta Negra,-5.8774561,-35.1813939
Bella Douces,Jaguarari,Lagoa Nova,-5.818502,-35.2182553
Aroma Cafe,"Divinopolis,2904",Neopolis,-5.8688469,-35.2035772
Adocee,"Praia de Ponta Negra, 8880",Ponta Negra,-5.8663307,-35.1846812
Tabua de Carne,"Nevaldo Rocha, 3775",Tirol,-5.8144792,-35.2003365
The Dew,Miguel Castro,Lagoa Nova,-5.8181875,-35.2228443
Sim Sinho,"Xavier da Silveira, 1029",Morro Branco,-5.8205737,-35.2016526
Severina Gastrobar,"Rodrigues Alves, 404",Petropolis,-5.7865164,-35.1980372
Rota 602,"Praia de Ponta Negra, 9041",Ponta Negra,-5.8663307,-35.1846812
Parrilla,"Coronel Norton Chaves, 821",Lagoa Nova,-5.8262632,-35.2095032
Panner,"Afonso Pena, 893",Tirol,-5.7944854,-35.1996745
MK Burger,"Adauto Maia, 1071",Lagoa Nova,-5.8162793,-35.218233
Meats,"Angelo Varela, 1360",Tirol,-5.7984506,-35.1977624
LS Burguer,"Furnas, 4859",Neopolis,-5.8699834,-35.2058588
Le Croc,"Xavantes, 2105",Pitimbu,-5.8518871,-35.2441787
Do chefe,"Praia de Ponta Negra, 9001",Ponta Negra,-5.8663307,-35.1846812
Jungle Burger,"Abel Cabral, 1554",Nova Parnamirim,-5.8742752,-35.2166446
Gourmet Burger,"Abel Cabral, 2271",Nova Parnamirim,-5.8742752,-35.2166446
Burguer Sense,"Fernando Barreto, 2465",Lagoa Nova,-5.8233029,-35.2132396
Burgue GO,"Abel Cabral, 1998",Nova Parnamirim,-5.8742752,-35.2166446
Bitz Burger,"Pernambuco, 101",Neopolis,-5.8557397,-35.206799
Casa Moscou,"Romualdo Galvao, 245",Tirol,-5.8044776,-35.2053244
